en_name,ch_name,url,ranking,area
MPhil in Therapeutic Sciences,剑桥大学治疗科学哲学硕士,/majr_66831,QS排名：2,社科 医学
MPhil in Medical Science (MRC Cognition and Brain Sciences Unit),剑桥大学医学哲学硕士（MRC认知与脑科学单元）,/majr_66890,QS排名：2,社科 医学
"MPhil in Anglo-Saxon, Norse and Celtic",剑桥大学盎格鲁撒克逊语、挪威语和凯尔特语哲学硕士,/majr_66835,QS排名：2,社科 语言
MPhil in Asian and Middle Eastern Studies (Hebrew and Semitic Studies),剑桥大学亚洲和中东研究（希伯来语和闪米特语研究）哲学硕士,/majr_66841,QS排名：2,社科 语言
MPhil in Theoretical and Applied Linguistics by Advanced Study,剑桥大学理论与应用语言学高级研究哲学硕士,/majr_66876,QS排名：2,社科 语言
MPhil in English Studies,剑桥大学英语研究哲学硕士,/majr_67779,QS排名：2,社科 语言
MPhil in Digital Humanities,剑桥大学数字人文哲学硕士,/majr_67778,QS排名：2,社科 传播
MPhil in Bioscience Enterprise,剑桥大学生物科技企业哲学硕士,/majr_50001,QS排名：2,理科 生物
MPhil in Conservation Leadership,剑桥大学保护领导力哲学硕士,/majr_50009,QS排名：2,理科 生物
MPhil in Social Anthropology,剑桥大学社会人类学哲学硕士,/majr_50017,QS排名：2,社科 其他社科
MPhil in Computational Biology,剑桥大学计算生物学哲学硕士,/majr_50020,QS排名：2,理科 生物
MPhil in Biotechnology,剑桥大学生物技术哲学硕士,/majr_61318,QS排名：2,理科 生物
MPhil in Scientific Computing,剑桥大学科学计算哲学硕士,/majr_62025,QS排名：2,理科 数学
MASt in Applied Mathematics,剑桥大学应用数学高级研究硕士,/majr_66822,QS排名：2,理科 数学
MASt in Mathematical Statistics,剑桥大学数理统计高级研究硕士,/majr_66823,QS排名：2,理科 数学
MASt in Pure Mathematics,剑桥大学纯数学高级研究硕士,/majr_66824,QS排名：2,理科 数学
MASt in Astrophysics,剑桥大学天体物理学高级研究硕士,/majr_66825,QS排名：2,理科 物理
MASt in Physics,剑桥大学物理学高级研究硕士,/majr_66828,QS排名：2,理科 物理
MPhil in Social Anthropological Research,剑桥大学社会人类学研究哲学硕士,/majr_66830,QS排名：2,社科 其他社科
MPhil in Anthropocene Studies,剑桥大学人类世研究哲学硕士,/majr_66836,QS排名：2,社科 其他社科
MPhil in Asian and Middle Eastern Studies (Classical Islamic History and Culture),剑桥大学亚洲和中东研究（古典伊斯兰历史和文化）哲学硕士,/majr_66839,QS排名：2,社科 其他社科
MPhil in Asian and Middle Eastern Studies (Hebrew and Pre-Modern Jewish History and Culture),剑桥大学亚洲和中东研究（希伯来语和前现代犹太历史和文化）哲学硕士,/majr_66840,QS排名：2,社科 其他社科
MPhil in Asian and Middle Eastern Studies (Muslim-Jewish Relations),剑桥大学亚洲和中东研究（穆斯林与犹太人关系）哲学硕士,/majr_66845,QS排名：2,社科 其他社科
MPhil in Assyriology,剑桥大学亚述学哲学硕士,/majr_66846,QS排名：2,社科 文化
MPhil in Basic and Translational Neuroscience,剑桥大学基础与转化神经科学哲学硕士,/majr_66847,QS排名：2,理科 生物
"MPhil in European, Latin American and Comparative Literatures and Cultures by Advanced Study",剑桥大学欧洲、拉丁美洲和比较文学与文化高级研究哲学硕士,/majr_66854,QS排名：2,社科 文化
