school,applicant
南洋理工大学电力工程,"西安交通大学, 电气工程及其自动化, 大四，GPA82.7，雅思7.0"
南洋理工大学电力工程,"华南理工大学, 一年工作经验，GPA83，雅思7.5"
南洋理工大学电力工程,"河海大学, 自动化, 大四，GPA86.36，雅思6.5"
南洋理工大学计算机控制和自动化,"河海大学, 自动化, 大四，GPA86.36，雅思6.5"
南洋理工大学计算机控制和自动化,"西南大学, 自动化, 已毕业，GPA88.11，托福106"
南洋理工大学电子学,"西南大学, 自动化, 大四，GPA88，雅思:6.5(L:6/R:8/W:6/S:5.5)"
南洋理工大学计算机控制和自动化,"西南大学, 自动化, 大四，GPA88，雅思:6.5(L:6/R:8/W:6/S:5.5)"
南洋理工大学电力工程,"华北电力大学, 电气工程及其自动化, 大四，GPA86.47，雅思7"
南洋理工大学计算机控制和自动化,"华南理工大学, 机械工程, 大四，GPA81，雅思6.5"
南洋理工大学电子学,"上海交通大学, 测控技术与仪器, 大四，GPA79.44，雅思7"
南洋理工大学电子学,"西安交通大学, 电气工程及其自动化, 大四，GPA82.7，雅思7.0"
南洋理工大学计算机控制和自动化,"西安交通大学, 电气工程及其自动化, 大四，GPA82.7，雅思7.0"
新加坡国立大学工业4.0理学硕士,"浙江大学, 海洋工程与技术, 大四，GPA84.67，雅思7.0"
新加坡国立大学工业4.0理学硕士,"上海交通大学, 交通运输, 大四，GPA80.16，雅思7.0"
新加坡国立大学工业4.0理学硕士,"同济大学, 工业工程, 大四，GPA88，雅思7.0"
新加坡国立大学计算机,"上海交通大学, 电子与计算机工程, 一年工作经验，GPA2.9，雅思8.0，GRE326"
新加坡国立大学计算机,"同济大学, 土木工程, 三年以上工作经验，GPA80，雅思7.5，GRE331"
南洋理工大学网络安全理学硕士,"山东大学, 软件工程, 大四，GPA83.07，雅思6.5，GRE330"
新加坡国立大学工程设计与创新理学硕士,"东华大学, 工业设计, 已毕业，GPA85，雅思7.0"
南洋理工大学材料科学与工程硕士,"西北工业大学, 材料成型及控制工程, 已毕业，GPA81.65，雅思7.0"
新加坡国立大学机器人学理学硕士,"山东大学, 软件工程, 大四，GPA83.07，雅思6.5，GRE330"
新加坡国立大学机械工程,"天津大学, 机械设计制造及其自动化, 已毕业，GPA3.05，雅思6.5"
新加坡国立大学安全、健康与环境技术,"香港中文大学, 生物化学, 已毕业，GPA2.89，免语言成绩"
新加坡国立大学计算机工程 - 数字化与通信技术方向,"吉林大学, 微电子科学与工程, 已毕业，GPA86.18，雅思6.5"
新加坡国立大学机器人学理学硕士,"北京理工大学, 机械电子工程, 已毕业，GPA80.33，雅思7.0"
新加坡国立大学机器人学理学硕士,"北京航空航天大学, 机械工程, 已毕业，GPA87.01，雅思7.5"
新加坡国立大学材料科学与工程,"西北工业大学, 材料成型及控制工程, 已毕业，GPA81.65，雅思7.0"
新加坡国立大学项目管理,"苏州大学, 物流管理, 一年工作经验，GPA3.8，雅思6.5"
新加坡国立大学材料科学与工程,"南京大学, 材料化学, 已毕业，GPA4.06，雅思6.0"
新加坡国立大学电子工程,"吉林大学, 微电子科学与工程, 已毕业，GPA86.18，雅思6.5"
南洋理工大学网络安全理学硕士,"武汉大学, 信息安全, 大四，GPA3.4，雅思6.5"
南洋理工大学人工智能理学硕士,"武汉大学, 信息安全, 大四，GPA3.4，雅思6.5"
新加坡国立大学材料科学与工程,"天津大学, 化学工程与工艺, 大四，GPA3.4，托福92"
新加坡国立大学化学工程,"天津大学, 化学工程与工艺, 大四，GPA3.4，托福92"
南洋理工大学智能制造理学硕士,"北京航空航天大学, 飞行器设计与工程(航天), 大四，GPA85.25，雅思8.0"
南洋理工大学智能制造理学硕士,"大连理工大学, 过程装备与控制工程, 大四，GPA86.2，雅思6.5"
南洋理工大学土木工程,"深圳大学, 土木工程, 大四，GPA86.5，雅思6.5"
新加坡国立大学科技硕士智能系统方向,"澳门科技大学, 计算机技术及其应用, 已毕业，GPA85，雅思6.0"
新加坡国立大学科技硕士智能系统方向,"墨尔本大学, 计算机软件系统, 大四，GPA76.4，免语言成绩"
南洋理工大学机械工程,"厦门大学, 材料科学, 已毕业，GPA86.17，雅思6.5"
新加坡国立大学安全、健康与环境技术,"以色列理工学院, 化学工程, 大四，GPA71.2，免语言成绩"
新加坡国立大学计算机工程 - 数字化与通信技术方向,"加州大学欧文分校, 电气工程, 一年工作经验，GPA3.25，免语言成绩"
新加坡国立大学电子工程,"西安交通大学, 电气工程及其自动化, 大四，GPA85.45，托福99"
新加坡国立大学电子工程,"华中科技大学, 自动化, 大四，GPA83.94，雅思6.5"
南洋理工大学智能制造理学硕士,"华南理工大学, 能源动力工程, 大四，GPA3.4，雅思7.5"
新加坡国立大学海事技术与管理理学硕士,"上海海事大学, 交通管理, 大四，GPA3.7，托福100"
新加坡国立大学机械工程,"厦门大学, 材料科学, 已毕业，GPA86.17，雅思6.5"
新加坡国立大学机械工程,"香港城市大学, 机械工程, 大四，GPA86.8，雅思6.5"
新加坡国立大学机械工程,"北京航空航天大学, 航空航天工程, 大四，GPA88.19，无语言成绩"
南洋理工大学国际建筑管理,"同济大学, 土木工程, 三年以上工作经验，GPA75，雅思7.5"
新加坡国立大学安全、健康与环境技术,"山东大学, 生态学, 大四，GPA83.7，雅思6.0"
新加坡国立大学工业系统工程,"四川大学, 工程造价, 大四，GPA85.32，雅思6.0"
新加坡国立大学材料科学工程,"北京科技大学, 材料科学与工程, 大四，GPA84.1，雅思6.0"
新加坡国立大学土木工程,"中国矿业大学, 土木工程系, 大四，GPA87.2，雅思6.0"
新加坡国立大学工业系统工程,"重庆大学, 工程管理, 已毕业，GPA84，托福103，GRE318"
南洋理工大学电子学,"吉林大学, 电子信息科学与技术, 大四，GPA88.01，雅思6.5"
南洋理工大学计算机控制和自动化,"吉林大学, 电子信息科学与技术, 大四，GPA88.01，雅思6.5"
南洋理工大学国际建筑管理,"天津大学, 工程管理, 大四，GPA3.69，雅思7.0"
南洋理工大学国际建筑管理,"吉林大学, 工程管理, 大四，GPA84.47，雅思6.5"
南洋理工大学通信工程,"南京大学, 通信工程, 已毕业，GPA4.0，雅思6.5"
南洋理工大学海事研究,"上海海事大学, 交通管理, 大四，GPA3.7，托福100"
南洋理工大学海事研究,"上海海事大学, 交通管理, 大四，GPA90.5，雅思7.0"
南洋理工大学智能制造理学硕士,"香港城市大学, 机械工程, 大四，GPA3.47，雅思6.5"
南洋理工大学海事研究,"上海海事大学, 交通管理, 大四，GPA86.85，雅思6.5"
南洋理工大学智能制造理学硕士,"俄亥俄州立大学, Industrial Engineering, 大四，GPA3.47，托福102"
