school,applicant
悉尼大学商学硕士,"重庆大学, 金融学, 大四，GPA75.52"
莫纳什大学银行与金融学硕士,"天津商业大学, 国际经济与贸易, 大四，GPA80"
新南威尔士大学金融分析,"重庆大学, 金融学, 大四，GPA75.52"
昆士兰大学经济学（1.5年）硕士,"成都理工大学, 投资学, 大四，GPA82.6"
西澳大学专业会计硕士,"东北师范大学人文学院, 会计, 一年工作经验，GPA77.1"
阿德莱德大学专业会计硕士,"东北师范大学人文学院, 会计, 一年工作经验，GPA77.1"
西澳大学市场营销硕士,"上海应用技术大学, 国际经济与贸易, 大四，GPA3.4，托福77"
西澳大学应用金融学硕士,"武汉理工大学, 环境科学, 大四，GPA83"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"北京林业大学, 生物工程, 毕业，GPA72.02"
昆士兰大学经济学（1.5年）硕士,"西南财经大学, 会计学, 大四，GPA78.2，雅思6.0"
悉尼大学经济学硕士,"江西财经大学, 会计, 已毕业，GPA86，雅思6"
悉尼大学专业会计硕士,"中国人民大学, 会计学, 已毕业，GPA3.49，雅思6.5"
澳大利亚国立大学金融学硕士,"上海大学, 工商管理, 大四，GPA83.9，雅思6.5"
悉尼大学管理学硕士,"香港大学, 经济金融, 大四，GPA2.84/4.3，GRE324"
悉尼大学商学硕士,"中南大学, 会计, 大四，GPA82.96，雅思7.0"
墨尔本大学信息系统（专业方向/研究方向/健康方向）硕士,"西北工业大学, 信息管理与信息系统, 大四，GPA87，雅思7"
澳大利亚国立大学应用金融学硕士,"暨南大学, 会计学, 6年工作经验，GPA3.49，雅思6.5"
澳大利亚国立大学应用金融学硕士,"北京理工大学, 机械工程, 毕业半年，GPA81.13，雅思7.0"
澳大利亚国立大学金融学硕士,"南昌大学, 金融学, 已毕业，GPA87.1，雅思6"
澳大利亚国立大学财务管理硕士,"上海立信会计金融学院, 金融, 大四，GPA86.28，雅思7"
新南威尔士大学金融数学硕士,"辽宁大学, 数学与应用数学, 毕业半年，GPA78.38"
昆士兰大学商业硕士,"上海应用技术大学, 国际经济与贸易, 大四，GPA3.4，托福77"
悉尼大学商学硕士,"山东大学, 人力资源管理专业, 2年工作经验，GPA82.6"
悉尼大学商学硕士,"北京邮电大学, 电子信息科学与技术, 工作2年，GPA75.05，雅思6.0"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"北京邮电大学, 电子信息科学与技术, 工作两年，GPA75.05，雅思6.0"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"华南师范大学, 金融数学与金融工程, 大四，GPA76.2，雅思7"
莫纳什大学国际可持续旅游管理硕士,"吉林外国语大学, 英语专业, 6年工作经验，GPA76"
墨尔本大学管理学（会计与金融）硕士,"香港中文大学（深圳）, 会计学, 大四，GPA3.4，雅思7"
昆士兰大学金融数学硕士,"辽宁大学, 数学与应用数学, 毕业半年，GPA78.38"
悉尼大学商学硕士,"华南师范大学, 金融数学与金融工程, 大四，GPA76.2，雅思7"
澳大利亚国立大学财务管理硕士,"南京师范大学, 财务管理, 大四，GPA3.52，雅思7.0"
莫纳什大学银行与金融学硕士,"武汉理工大学, 环境科学, 大四，GPA83"
