en_name,ch_name,ranking,area,area_1,area_ranking,entrance_time,project_length,tuition,region
Master of Education (Comparative and Global Studies in Education and Development),香港大学教育学硕士（教育与发展中的比较与全球教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Content and Language Integrated Learning),香港大学教育学硕士（内容与语言整合学习）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Early Childhood Education),香港大学教育学硕士（幼儿教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Educational Administration and Management),香港大学教育学硕士（教育行政与管理）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (English Language Education),香港大学教育学硕士（英语语言教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Higher Education),香港大学教育学硕士（高等教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (STEM Education),香港大学教育学硕士（STEM教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Teaching Chinese as a Second Language),香港大学教育学硕士（对外汉语教学）,QS排名：21,社科 教育,教育,1,9月,1年,216000港币/年,HongKong
Master of Education (Teaching Chinese Language and Literature in International Education),香港大学教育学硕士（国际教育中国语言及文学教学）,QS排名：21,社科 教育,教育,1,9月,1年,216000港币/年,HongKong
"Master of Science in Technology, Design and Leadership for Learning (E-Learning)",香港大学学习技术、设计和领导力理学硕士（电子化学习）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
"Master of Science in Technology, Design and Leadership for Learning (Learning Technology Design)",香港大学学习技术、设计和领导力理学硕士（学习技术设计）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Guidance and Counselling),香港大学教育学硕士（辅导与咨询）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Education (Mathematics Education),香港大学教育学硕士（数学教育）,QS排名：21,社科 教育,教育,1,9月,1年,198000港币/年,HongKong
Master of Architecture,香港大学建筑学硕士,QS排名：21,社科 建筑,建筑,1,9月,2年,171175港币/年,HongKong
Master of Landscape Architecture,香港大学园林学建筑硕士,QS排名：21,社科 建筑,建筑,1,9月,2年,178000港币/年,HongKong
Master of Science in Conservation,香港大学建筑历史保护理学硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,204600港币/年,HongKong
Master of Science in Urban Planning,香港大学城市规划理学硕士,QS排名：21,社科 建筑,建筑,1,9月,2年,182000港币/年,HongKong
Master of Urban Design,香港大学城市设计硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,247000港币/年,HongKong
Master of Science in Marketing,香港大学市场营销学理学硕士,QS排名：21,商科 市场营销,市场营销,1,9月,1年,360000港币/年,HongKong
Master of Architecture (Design),香港大学建筑学硕士（设计）,QS排名：21,社科 建筑,建筑,1,9月,3年,200117港币/年,HongKong
Master of Science in Urban Analytics,香港大学城市分析理学硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,202880港币/年,HongKong
Master of Housing Management,香港大学房屋管理硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,204120港币/年,HongKong
Master of Science in Sustainable Environmental Design,香港大学可持续环境设计理学硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,200000港币/年,HongKong
Master of Science in Urban Design and Transport,香港大学城市设计与交通理学硕士,QS排名：21,社科 建筑,建筑,1,9月,2年,162500港币/年,HongKong
Master of Science in Dental Materials Science,香港大学牙科材料科学理学硕士,QS排名：21,工科 材料,材料,1,9月,1年,250000港币/年,HongKong
Master of Science in Digital Management of Built Assets,香港大学建筑资产数字化管理理学硕士,QS排名：21,社科 建筑,建筑,1,9月,1年,194000港币/年,HongKong
Juris Doctor,香港大学法律博士,QS排名：21,社科 法律,法律,1,9月,2年,240000港币/年,HongKong
Master of Laws,香港大学法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Laws in Chinese Law,香港大学中国法法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Laws in Corporate and Financial Law,香港大学企业与金融法法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,200200港币/年,HongKong
Master of Laws in Human Rights,香港大学人权法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Laws in Technology and Intellectual Property Law,香港大学技术与知识产权法法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Laws in Arbitration and Dispute Resolution,香港大学仲裁与调解法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Common Law,香港大学普通法硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Social Sciences in the field of Criminology,香港大学犯罪学社会科学硕士,QS排名：21,社科 法律,法律,1,9月,1年,162000港币/年,HongKong
Master of Laws in Compliance and Regulation,香港大学合规与监管法学硕士,QS排名：21,社科 法律,法律,1,9月,1年,182000港币/年,HongKong
Master of Social Work,香港大学社会工作学硕士,QS排名：21,社科 社会学与社工,社会学与社工,1,9月,2年,166000港币/年,HongKong
Master of Social Sciences in the field of Nonprofit Management,香港大学非盈利管理社会科学硕士,QS排名：21,社科 社会学与社工,社会学与社工,1,9月,1年,177480港币/年,HongKong
Master of Science in Library and Information Management (Data science),香港大学图书馆与信息管理理学硕士（数据科学）,QS排名：21,商科 信息系统,信息系统,2,9月,1年,198000港币/年,HongKong
Master of Arts in China Development Studies,香港大学中国发展研究文学硕士,QS排名：21,社科 国际关系,国际关系,1,9月,1年,160000港币/年,HongKong
Master of International and Public Affairs,香港大学国际与公共事务硕士,QS排名：21,社科 国际关系,国际关系,1,9月,1年,189200港币/年,HongKong
Master of Science in Engineering (Civil Engineering) - General Stream,香港大学土木工程工学硕士（通用方向）,QS排名：21,工科 土木工程,土木工程,2,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Civil Engineering) - Geotechnical Engineering Stream,香港大学土木工程工学硕士（岩土工程方向）,QS排名：21,工科 土木工程,土木工程,2,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Civil Engineering) - Structural Engineering Stream,香港大学工程学（土木工程）理学硕士 - 结构工程方向,QS排名：21,工科 土木工程,土木工程,2,9月,1年,216000港币/年,HongKong
Master of Science in Library and Information Management (Information Management),香港大学图书馆与信息管理理学硕士（信息管理）,QS排名：21,商科 信息系统,信息系统,2,9月,1年,198000港币/年,HongKong
Master of Science in Library and Information Management (Knowledge Management),香港大学图书馆与信息管理理学硕士（知识管理）,QS排名：21,商科 信息系统,信息系统,2,9月,1年,198000港币/年,HongKong
Master of Science in Library and Information Management (Librarianship),香港大学图书馆与信息管理理学硕士（图书馆学）,QS排名：21,商科 信息系统,信息系统,2,9月,1年,198000港币/年,HongKong
Master of Science in Construction Project Management,香港大学建筑项目管理理学硕士,QS排名：21,工科 工程管理,工程管理,1,9月,1年,200400港币/年,HongKong
Master of Social Sciences in the field of Sustainability Leadership and Governance,香港大学可持续发展领导和治理硕士,QS排名：21,商科 管理,管理,1,9月,1年,170000港币/年,HongKong
Master of Global Management,香港大学环球管理学硕士,QS排名：21,商科 管理,管理,1,9月,1年,390000港币/年,HongKong
Master of Science in the field of Food Industry: Management and Marketing,香港大学食品工业：管理与市场营销理学硕士,QS排名：21,商科 管理,管理,1,9月,1年,150000港币/年,HongKong
Master of Science in Environmental Management,香港大学环境管理学理学硕士,QS排名：21,工科 环境工程,环境工程,1,9月,1年,170000港币/年,HongKong
Master of Arts in the field of Hong Kong History,香港大学香港史文学硕士,QS排名：21,社科 历史,历史,1,9月,1年,220000港币/年,HongKong
Master of Science in Engineering (Civil Engineering) - Environmental Engineering Stream,香港大学工程学（土木工程）理学硕士 - 环境工程方向,QS排名：21,工科 环境工程,环境工程,1,9月,1年,216000港币/年,HongKong
Master of Science in Real Estate,香港大学房地产学理学硕士,QS排名：21,商科 房地产,房地产,1,9月,1年,210000港币/年,HongKong
Master of Science in Electronic Commerce & Internet Computing,香港大学电子商务与互联网计算理学硕士,QS排名：21,工科 工业工程,工业工程,1,9月,1年,216000港币/年,HongKong
Master of Science in Engineering (Industrial Engineering and Logistics Management),香港大学工程学（工业工程与物流管理）理学硕士,QS排名：21,工科 工业工程,工业工程,1,9月,1年,216000港币/年,HongKong
Master of Public Administration,香港大学公共管理硕士,QS排名：21,社科 公共政策与事务,公共政策与事务,1,9月,1年,189200港币/年,HongKong
Master of Science in Engineering (Energy Engineering),香港大学工程学（能源工程）理学硕士,QS排名：21,工科 能源,能源,1,9月,1年,216000港币/年,HongKong
Master of Business Administration,香港大学工商管理硕士,QS排名：21,商科 工商管理,工商管理,1,9月,1年,588000港币/年,HongKong
Master of Science in the field of Applied Geosciences,香港大学应用地球科学理学硕士,QS排名：21,工科 地球科学,地球科学,1,9月,1年,150000港币/年,HongKong
Master of Arts in Transport Policy and Planning,香港大学运输政策与规划文学硕士,QS排名：21,工科 交通运输,交通运输,1,9月,1年,160000港币/年,HongKong
Master of Public Health,香港大学公共卫生硕士,QS排名：21,社科 公共卫生,公共卫生,1,9月,1年,200000港币/年,HongKong
Master of Social Sciences in the field of Behavioral Health,香港大学行为健康学硕士,QS排名：21,社科 心理学,心理学,1,9月,1年,194300港币/年,HongKong
Master of Expressive Arts Therapy,香港大学表现艺术治疗硕士,QS排名：21,社科 心理学,心理学,1,9月,2年,158550港币/年,HongKong
Master of Social Sciences in the field of Psychology,香港大学心理学社会科学硕士,QS排名：21,社科 心理学,心理学,1,9月,1年,156900港币/年,HongKong
Master of Social Sciences in the field of Clinical Psychology,香港大学临床心理学社会科学硕士,QS排名：21,社科 心理学,心理学,1,9月,2年,171000港币/年,HongKong
Master of Medical Sciences,香港大学医学硕士,QS排名：21,社科 医学,医学,1,9月,1年,153600港币/年,HongKong
Master of Science in the field of Food Safety and Toxicology,香港大学食品安全和毒理学理学硕士,QS排名：21,工科 食品科学,食品科学,1,9月,1年,160000港币/年,HongKong
Master of Nursing,香港大学护理学硕士,QS排名：21,社科 医学,医学,1,9月,1年,120000港币/年,HongKong
Master of Advanced Pharmacy,香港大学高级药剂学硕士,QS排名：21,社科 医学,医学,1,9月,1年,150880港币/年,HongKong
Master of Arts in the field of Linguistics,香港大学语言学文学硕士,QS排名：21,社科 语言,语言,1,9月,1年,198000港币/年,HongKong
Master of Arts in Applied Linguistics,香港大学应用语言学文学硕士,QS排名：21,社科 语言,语言,1,9月,1年,238000港币/年,HongKong
Master of Arts in the field of English Studies,香港大学英语研究文学硕士,QS排名：21,社科 语言,语言,1,9月,1年,198000港币/年,HongKong
Master of Fine Arts in the field of Creative Writing in English,香港大学英语创意写作艺术硕士,QS排名：21,社科 语言,语言,1,9月,1年,198000港币/年,HongKong
Master of Arts in the field of Chinese Language and Literature,香港大学中国语言文学文学硕士,QS排名：21,社科 语言,语言,1,9月,1年,205000港币/年,HongKong
Master of Arts in the field of Creative Communications,香港大学创意传播文学硕士,QS排名：21,社科 传播,传播,1,9月,1年,198000港币/年,HongKong
Master of Arts in the field of Literary and Cultural Studies,香港大学文学与文化研究文学硕士,QS排名：21,社科 文化,文化,1,9月,1年,198000港币/年,HongKong
Master of Buddhist Studies,香港大学佛学硕士,QS排名：21,社科 其他社科,其他社科,1,9月,1年,160000港币/年,HongKong
Master of Statistics,香港大学统计学硕士,QS排名：21,理科 数学,数学,1,9月,1年,204000港币/年,HongKong
Master of Journalism,香港大学新闻学硕士,QS排名：21,社科 新闻,新闻,1,9月,1年,244800港币/年,HongKong
Master of Data Science,香港大学数据科学硕士,QS排名：21,理科 数据科学,数据科学,1,9月,1.5年,190800港币/年,HongKong
Master of Buddhist Counselling,香港大学佛学辅导硕士,QS排名：21,社科 其他社科,其他社科,1,9月,1年,165000港币/年,HongKong
Master of Arts in the field of Art History,香港大学艺术史文学硕士,QS排名：21,社科 其他社科,其他社科,1,9月,1年,210000港币/年,HongKong
"Master of Social Sciences in the field of Media, Culture and Creative Cities",香港大学媒体、文化和创意城市社会科学硕士,QS排名：21,社科 文化,文化,1,9月,1年,162000港币/年,HongKong
Master of Science in the field of Physics,香港大学物理学理学硕士,QS排名：21,理科 物理,物理,1,9月,1年,180000港币/年,HongKong
Master of Arts in the field of Music Studies,香港大学音乐研究文学硕士,QS排名：21,社科 其他社科,其他社科,1,9月,1年,198000港币/年,HongKong
Master of Science in Business Analytics,亚利桑那州立大学商业分析硕士,QS排名：219,商科 商业分析,商业分析,21,秋季,9个月,55488美元,US
MS in Financial Engineering,哥伦比亚大学金融工程硕士,QS排名：22,商科 金工金数,金工金数,1,秋季,36学分,79056美元,US
Master of Arts in Mathematics with specialization in the Mathematics of Finance,哥伦比亚大学金融数学硕士,QS排名：22,商科 金工金数,金工金数,1,秋季,2-3学期,79049美元,US
Master of Science in Financial Economics,哥伦比亚大学金融经济硕士,QS排名：22,商科 金融,金融,1,秋季,2年,60912美元/年,US
MS in Enterprise Risk Management,哥伦比亚大学企业风险管理硕士,QS排名：22,商科 金融,金融,1,春季/秋季,3学期，36学分,2346美元/学分,US
MS in Computer Science,哥伦比亚大学计算机科学硕士,QS排名：22,工科 计算机,计算机,1,春季/秋季,30学分,2196美元/学分,US
Master of Science in Business Analytics,哥伦比亚大学商业分析硕士,QS排名：22,商科 商业分析,商业分析,1,春季/秋季,3学期，36学分,87335美元,US
Master of Science in Applied Analytics,哥伦比亚大学应用分析硕士,QS排名：22,商科 商业分析,商业分析,1,春季/秋季,3学期，36学分,2266美元/学分,US
MA in Economics,哥伦比亚大学经济学硕士,QS排名：22,商科 经济,经济,1,秋季,3学期,64380美元,US
MA in Quantitative Methods in the Social Sciences,哥伦比亚大学社会科学定量方法硕士,QS排名：22,商科 经济,经济,1,秋季,1-1.5年,79049美元,US
MS in Accounting and Fundamental Analysis,哥伦比亚大学会计与基本面分析硕士,QS排名：22,商科 会计,会计,1,秋季,1年，3学期,70752美元,US
MS in Electrical Engineering,哥伦比亚大学电气工程硕士,QS排名：22,工科 电气电子,电气电子,1,秋季,30学分,2196美元/学分,US
MS in Computer Engineering,哥伦比亚大学计算机工程硕士,QS排名：22,工科 电气电子,电气电子,1,春季/秋季,30学分,2196美元/学分,US
Master of Arts in Economics and Education,哥伦比亚大学经济学和教育文学硕士,QS排名：22,社科 教育,教育,1,秋季,33 学分,63129美元,US
Master of Arts in Learning Analytics,哥伦比亚大学学习分析文学硕士,QS排名：22,社科 教育,教育,1,秋季,32学分,58848美元,US
MA in TESOL (Teaching English to Speakers of Other Languages),哥伦比亚大学对外英语教学文学硕士,QS排名：22,社科 教育,教育,1,秋季,2年,68868美元,US
MS in Mechanical Engineering,哥伦比亚大学机械工程理学硕士,QS排名：22,工科 机械工程,机械工程,1,秋季,30学分,2272美元/学分,US
MS in Marketing Science,哥伦比亚大学市场营销硕士,QS排名：22,商科 市场营销,市场营销,1,秋季,2学期（30学分）,64320美元,US
M.S. in Materials Science & Engineering,哥伦比亚大学材料科学与工程理学硕士,QS排名：22,工科 材料,材料,1,秋季,30学分,2272美元/学分,US
Master of Laws,哥伦比亚大学法学硕士,QS排名：22,社科 法律,法律,1,秋季,1年,72352美元,US
MS in Chemical Engineering,哥伦比亚大学化学工程理学硕士,QS排名：22,工科 化工,化工,1,春季/秋季,36学分,2272美元/学分,US
MS in Biomedical Engineering,哥伦比亚大学生物医学工程理学硕士,QS排名：22,工科 生物工程,生物工程,1,秋季,30学分,54528美元/年,US
MS Civil Engineering and Engineering Mechanics,哥伦比亚大学土木工程与工程力学理学硕士,QS排名：22,工科 土木工程,土木工程,1,秋季/春季,2学期,2272 美元/学分,US
Master of Science in Management Science and Engineering,哥伦比亚大学管理科学与工程理学硕士,QS排名：22,工科 工程管理,工程管理,1,秋季,36学分,81792美元,US
M.S. Nonprofit Management,哥伦比亚大学非营利管理硕士,QS排名：22,商科 管理,管理,1,秋季,3学期,2428美元/学分,US
Master of Science in Human Capital Management,哥伦比亚大学人力资本管理硕士,QS排名：22,商科 管理,管理,1,秋季,3学期,2428美元/学分,US
MS in Earth and Environmental Engineering,哥伦比亚大学地球与环境工程理学硕士,QS排名：22,工科 环境工程,环境工程,1,秋季/春季,30学分,2272美元/学分,US
Master of Public Administration,哥伦比亚大学公共管理硕士 ,QS排名：22,社科 公共政策与事务,公共政策与事务,1,春季/秋季,21个月,65242美元,US
Master of International Affairs ,哥伦比亚大学国际事务硕士,QS排名：22,社科 公共政策与事务,公共政策与事务,1,春季/秋季,21个月,65242美元,US
MPA in Economic Policy Management,哥伦比亚大学公共管理硕士–经济政策管理,QS排名：22,社科 公共政策与事务,公共政策与事务,1,夏季,1年,65347美元,US
MPA in Environmental Science and Policy,哥伦比亚大学公共管理硕士–环境科学与政策,QS排名：22,社科 公共政策与事务,公共政策与事务,1,夏季,1年,89677美元,US
MPA in Development Practice,哥伦比亚大学公共管理硕士–发展事件,QS排名：22,社科 公共政策与事务,公共政策与事务,1,春季/秋季,21个月,65242美元,US
MA in Communication and Education,哥伦比亚大学教育传播学硕士,QS排名：22,社科 传播,传播,1,夏季/秋季,32 学分,1913美元/学分,US
MS in Strategic Communication,哥伦比亚大学战略传播学硕士,QS排名：22,社科 传播,传播,1,夏季/秋季/春季,12/16个月,2428美元/学分,US
Master of Science in Data Science,哥伦比亚大学数据科学硕士,QS排名：22,理科 数据科学,数据科学,1,春季/秋季,1.5年,50496美元/年,US
Applied Statistics MS,哥伦比亚大学应用统计学硕士,QS排名：22,理科 数学,数学,1,秋季,1年,1839美元/学分,US
MA in Statistics,哥伦比亚大学统计学硕士,QS排名：22,理科 数学,数学,1,秋季,3学期,91336美元,US
MS Biostatistics,哥伦比亚大学生物统计硕士,QS排名：22,理科 数学,数学,1,秋季,4学期,69634美元,US
MS in Operations Research,哥伦比亚大学运筹学理学硕士,QS排名：22,理科 数学,数学,1,春季/秋季,30学分,68160美元,US
Master of Actuarial Science,哥伦比亚大学精算学硕士,QS排名：22,理科 数学,数学,1,秋季,3学期,2428美元/学分,US
MPH Biostatistics,哥伦比亚大学公共卫生生物统计学硕士,QS排名：22,理科 数学,数学,1,秋季,2年,42208/年（1882/学分）,US
MSc Financial Technology,阿伯丁大学金融科技理学硕士,QS排名：220,商科 金工金数,金工金数,21,9月,1年,27000英镑/年,Britain
MScEcon Finance and Investment Management (with CFA Level 1 Examination),阿伯丁大学金融与投资管理经济学硕士（CFA一级考试）,QS排名：220,商科 金融,金融,21,1/9月,1年,27000英镑/年,Britain
MSc International Business and Finance,阿伯丁大学国际商务与金融理学硕士,QS排名：220,商科 金融,金融,21,1/9月,1年,27000英镑/年,Britain
MScEcon Finance and Investment Management,阿伯丁大学金融与投资管理经济学硕士,QS排名：220,商科 金融,金融,21,1/9月,1年,27000英镑/年,Britain
MSc Artificial Intelligence,阿伯丁大学人工智能理学硕士,QS排名：220,工科 计算机,计算机,21,1/9月,1年,27000英镑/年,Britain
MSc Industrial Robotics,阿伯丁大学工业机器人理学硕士,QS排名：220,工科 计算机,计算机,21,9月,1年,27000英镑/年,Britain
MSc Information Technology,阿伯丁大学信息技术理学硕士,QS排名：220,工科 计算机,计算机,21,1/9月,1年,27000英镑/年,Britain
MSc Cybersecurity,阿伯丁大学网络安全理学硕士,QS排名：220,工科 计算机,计算机,21,9月,1年,27000英镑/年,Britain
LLM or MSc Energy Economics and Law,阿伯丁大学能源经济与法律硕士,QS排名：220,商科 经济,经济,21,1/9月,1年,27000英镑/年,Britain
"MScEcon Petroleum, Energy Economics and Finance",阿伯丁大学石油，能源经济与金融经济学硕士,QS排名：220,商科 经济,经济,21,9月,1年,27000英镑/年,Britain
MLE Master of Land Economy (Rural Surveying & Rural Property Management),阿伯丁大学土地经济硕士（农村调查与农村物业管理）,QS排名：220,商科 经济,经济,21,9月,1年,22000英镑/年,Britain
MScEcon Accounting and Finance,阿伯丁大学会计与金融经济学硕士,QS排名：220,商科 会计,会计,21,1/9月,1年,27000英镑/年,Britain
MSc Advanced Mechanical Engineering,阿伯丁大学高级机械工程理学硕士,QS排名：220,工科 机械工程,机械工程,21,1/9月,1年,27000英镑/年,Britain
MSc Teaching English to Speakers of Other Languages (TESOL),阿伯丁大学对外英语教学理学硕士,QS排名：220,社科 教育,教育,21,1/9月,1年,23800英镑/年,Britain
MSc Marketing Management,阿伯丁大学营销管理理学硕士,QS排名：220,商科 市场营销,市场营销,21,1/9月,1年,27000英镑/年,Britain
MSc Advanced Chemical Engineering,阿伯丁大学高级化学工程理学硕士,QS排名：220,工科 化工,化工,21,1/9月,1年,27000英镑/年,Britain
LLM Business Law and Sustainable Development with Dissertation,阿伯丁大学商业法与可持续发展法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM General Law,阿伯丁大学普通法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Criminal Justice,阿伯丁大学刑事司法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM International Human Rights,阿伯丁大学国际人权法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Criminal Justice and Human Rights,阿伯丁大学刑事司法与人权法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Human Rights and Criminal Justice,阿伯丁大学人权与刑事司法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM International Law,阿伯丁大学国际法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Public International Law,阿伯丁大学国际公法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM International Law and International Relations,阿伯丁大学国际法与国际关系法学硕士,QS排名：220,社科 法律,法律,21,9月,1年,23800英镑/年,Britain
LLM International Commercial Law with Dissertation,阿伯丁大学国际商法法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM International Commercial Law with Professional Skills,阿伯丁大学国际商法法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM International Trade Law,阿伯丁大学国际贸易法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM International Trade Law and Treaty Negotiation with Professional Skills,阿伯丁大学国际贸易法与条约谈判法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM or MSc Corporate Finance and Law,阿伯丁大学公司金融与法律法学/理学硕士,QS排名：220,社科 法律,法律,21,9月,1年,27000英镑/年,Britain
LLM Energy Law with Dissertation,阿伯丁大学能源法法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Energy Law with Professional Skills,阿伯丁大学能源法法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM Oil and Gas Law with Dissertation,阿伯丁大学石油与天然气法法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Oil and Gas Law with Professional Skills,阿伯丁大学石油与天然气法法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM Energy and Environmental Law with Dissertation,阿伯丁大学能源与环境法法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Energy and Environmental Law with Professional Skills,阿伯丁大学能源与环境法法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM Natural Resources Law,阿伯丁大学自然资源法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
LLM Intellectual Property Law with Professional Skills,阿伯丁大学知识产权法法学硕士（职业技能）,QS排名：220,社科 法律,法律,21,1/9月,1年,27000英镑/年,Britain
LLM Intellectual property Law,阿伯丁大学知识产权法法学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
MSc Energy Politics and Law,阿伯丁大学能源政治与法律理学硕士,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
MSc Process Safety,阿伯丁大学工艺安全理学硕士,QS排名：220,工科 化工,化工,21,1/9月,1年,27000英镑/年,Britain
MSc Safety and Reliability Engineering,阿伯丁大学安全与可靠性工程理学硕士,QS排名：220,工科 化工,化工,21,9月,1年,27000英镑/年,Britain
LLM International Dispute Resolution with Dissertation,阿伯丁大学国际争端解决法学硕士（论文）,QS排名：220,社科 法律,法律,21,1/9月,1年,23800英镑/年,Britain
MSc Biomedical Engineering,阿伯丁大学生物医学工程理学硕士,QS排名：220,工科 生物工程,生物工程,21,9月,1年,27000英镑/年,Britain
"MSc Sex, Gender, Violence",阿伯丁大学性，性别，暴力理学硕士,QS排名：220,社科 社会学与社工,社会学与社工,21,1/9月,1年,23800英镑/年,Britain
MSc Sociology,阿伯丁大学社会学理学硕士,QS排名：220,社科 社会学与社工,社会学与社工,21,1/9月,1年,23800英镑/年,Britain
MSc Political Activism and Campaigning,阿伯丁大学政治活动与竞选理学硕士,QS排名：220,社科 社会学与社工,社会学与社工,21,9月,1年,23800英镑/年,Britain
MSc Advanced Structural Engineering,阿伯丁大学高级结构工程理学硕士,QS排名：220,工科 土木工程,土木工程,21,1/9月,1年,27000英镑/年,Britain
"LLM International Law, Security and Strategic Studies",阿伯丁大学国际法、安全与战略研究法学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc International Finance and Political Relations,阿伯丁大学国际金融与政治关系理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc International Political Economy,阿伯丁大学国际政治经济学理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc International Relations,阿伯丁大学国际关系理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc International Relations and International Law,阿伯丁大学国际关系与国际法理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc International Relations and Management,阿伯丁大学国际关系与管理理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc Strategic Studies,阿伯丁大学战略研究理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc Strategic Studies and International Law,阿伯丁大学战略研究与国际法理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc Peace and Conflict Studies,阿伯丁大学和平与冲突研究理学硕士,QS排名：220,社科 国际关系,国际关系,21,1/9月,1年,23800英镑/年,Britain
MSc Subsea Engineering,阿伯丁大学水下工程理学硕士,QS排名：220,工科 土木工程,土木工程,21,1/9月,1年,27000英镑/年,Britain
MSc Petroleum Data Management,阿伯丁大学石油数据管理理学硕士,QS排名：220,商科 信息系统,信息系统,21,9月,1年,22000英镑/年,Britain
MSc International Business Management,阿伯丁大学国际商务管理理学硕士,QS排名：220,商科 管理,管理,21,1/9月,1年,27000英镑/年,Britain
MLitt Philosophy and Society,阿伯丁大学哲学与社会文学硕士,QS排名：220,社科 哲学,哲学,21,9月,1年,22000英镑/年,Britain
MSc Strategic Studies and Management,阿伯丁大学战略研究与管理理学硕士,QS排名：220,商科 管理,管理,21,1/9月,1年,23800英镑/年,Britain
MSc International Tourism Management,阿伯丁大学国际旅游管理理学硕士,QS排名：220,商科 管理,管理,21,1/9月,1年,27000英镑/年,Britain
MSc Archaeology,阿伯丁大学考古学理学硕士,QS排名：220,社科 历史,历史,21,1/9月,1年,22000英镑/年,Britain
